Player,Salary
A.J. Hammons,350087
Aaron Gordon,18136364
Aaron Holiday,2345640
Aaron Nesmith,3458400
Abdel Nader,1752950
Admiral Schofield,1517981
Al Horford,27500000
Alec Burks,6000000
Aleksej Pokusevski,2964840
Alen Smailagi?,1517981
Alex Caruso,2750000
Alex Len,4032648
Alex Len,4032648
Al-Farouq Aminu,9720900
Alfonzo McKinnie,1762796
Anderson Varejão,1913345
Andre Drummond,28751775
Andre Iguodala,15000000
Andre Roberson,152839
Andrew Nicholson,2844429
Andrew Wiggins,29542010
Anfernee Simons,2252040
Anthony Davis,32742000
Anthony Edwards,9757440
Anthony Gill,898310
Anžejs Pase??iks,350000
Aron Baynes,6975610
Austin Rivers,3174603
Avery Bradley,5635000
Bam Adebayo,5115492
Ben McLemore,2283034
Ben Simmons,29250000
Bismack Biyombo,2331593
Blake Griffin,36595996
Boban Marjanovi?,3500000
Bobby Portis,3623000
Bogdan Bogdanovi?,18000000
Bojan Bogdanovi?,17850000
Bol Bol,2058240
Brad Wanamaker,2250000
Bradley Beal,28751775
Brandon Clarke,2602920
Brandon Goodwin,1701593
Brandon Ingram,27285000
Brook Lopez,12697675
Bruce Brown,1663861
Bruno Caboclo,361256
Bruno Fernando,1517981
Bryn Forbes,2337145
Buddy Hield,24431818
Caleb Martin,1517981
Cam Reddish,4458000
Cameron Johnson,4235160
Cameron Payne,1977011
Caris LeVert,16203704
Carmelo Anthony,2564753
Carsen Edwards,1517981
Cedi Osman,8750000
Chandler Hutchison,2443440
Chimezie Metu,
Chris Boucher,6490385
Chris Clemons,1517981
Chris Paul,41358814
Chris Silva,1517981
Christian Wood,13015874
Chuma Okeke,3121080
CJ Elleby,898310
CJ McCollum,29354152
Clint Capela,16000000
Coby White,5572680
Cody Martin,1517981
Cody Zeller,15415730
Cole Aldrich,685340
Cole Anthony,3285120
Collin Sexton,4991880
Cory Joseph,12600000
Cristiano Felício,7529020
D.J. Augustin,6666667
D.J. Wilson,4548280
Dakari Johnson,459414
Damian Jones,785285
Damian Lillard,31626953
Damion Lee,1762796
Damyean Dotson,2000000
D'Angelo Russell,28649250
Daniel Gafford,1517981
Daniel Oturu,898310
Daniel Theis,5000000
Danilo Gallinari,19500000
Danny Green,15365854
Dante Exum,9600000
Danuel House,3717000
DaQuan Jeffries,1445697
Dario Šari?,8333333
Darius Bazley,2399160
Darius Garland,6720720
Darius Miller,7000000
David Nwaba,1862250
D?vis Bert?ns,15000000
De'Aaron Fox,8099627
Dean Wade,1517981
Deandre Ayton,10018200
DeAndre' Bembry,1737145
De'Andre Hunter,7422000
DeAndre Jordan,10375678
De'Anthony Melton,7812500
Deividas Sirvydis,898310
Dejounte Murray,14285714
Delon Wright,9000000
DeMar DeRozan,27739975
DeMarcus Cousins,2331593
DeMarre Carroll,6167887
Demetrius Jackson,92857
Deni Avdija,4469160
Dennis Schröder,15500000
Dennis Smith Jr.,5686677
Denzel Valentine,4642800
Derrick Favors,9258000
Derrick Jones Jr.,9268293
Derrick Rose,7682927
Derrick White,3516284
Desmond Bane,1936440
Devin Booker,29430000
Devin Vassell,4033440
Devonte' Graham,1663861
Dewayne Dedmon,2866667
Dillon Brooks,11400000
Dion Waiters,12650000
Domantas Sabonis,17187500
Donovan Mitchell,5195501
Donte DiVincenzo,3044160
Dorian Finney-Smith,4000000
Doug McDermott,7333333
Draymond Green,22246956
Drew Eubanks,1620564
Duncan Robinson,1663861
Dwayne Bacon,1678854
Dwight Howard,2564753
Dwight Powell,10185185
Dylan Windler,2137440
Ed Davis,5005350
Edmond Sumner,2160000
Elfrid Payton,5760000
Elfrid Payton,5760000
Elijah Hughes,898310
Enes Kanter,5005350
Eric Bledsoe,16875000
Eric Gordon,16869276
Eric Paschall,1517981
E'Twaun Moore,2331593
Evan Fournier,17000000
Facundo Campazzo,3623000
Frank Jackson,
Frank Kaminsky,1882867
Frank Ntilikina,6176578
Fred VanVleet,21250000
Furkan Korkmaz,1762796
Garrett Temple,4767000
Gary Clark,1944677
Gary Harris,19160714
Gary Trent Jr.,1663861
George Hill,9590602
Georges Niang,1783557
Giannis Antetokounmpo,27528090
Glenn Robinson III,930930
Goga Bitadze,2957520
Goran Dragi?,18000000
Gordon Hayward,28500000
Gorgui Dieng,17287640
Grant Williams,2498760
Grayson Allen,2545320
Guerschon Yabusele,1039080
Hamidou Diallo,1663861
Harrison Barnes,22215909
Harry Giles,1678854
Hassan Whiteside,2320044
Henry Ellenson,50000
Ignas Brazdeikis,1517981
Iman Shumpert,447155
Immanuel Quickley,2105520
Isaac Bonga,1663861
Isaac Okoro,6400920
Isaiah Hartenstein,1445697
Isaiah Joe,898310
Isaiah Roby,1517981
Isaiah Stewart,3121080
Ish Smith,6146341
Ivica Zubac,7000000
J.J. Barea,2564753
J.J. Redick,13013700
J.R. Smith,1456667
Ja Morant,9166800
Jabari Parker,6500000
Jacob Evans,2017320
Jaden McDaniels,1964760
Jae Crowder,9258000
Jae'Sean Tate,1445967
Jahlil Okafor,1882867
Jahmi'us Ramsey,1000000
JaKarr Sampson,1882867
Jake Layman,3761085
Jakob Poeltl,8101852
Jalen Brunson,1663861
Jalen Lecque,1517981
Jalen McDaniels,1517981
Jalen Smith,4245720
Jamal Murray,29250000
James Ennis,3300000
James Harden,40824000
James Johnson,16047100
James Wiseman,8730240
JaMychal Green,7199760
Jared Dudley,2564753
Jaren Jackson Jr.,7257360
Jarred Vanderbilt,1663861
Jarrett Allen,3909902
Jarrett Culver,6104280
JaVale McGee,4200000
Javonte Green,1517981
Jaxson Hayes,5105160
Jaylen Brown,22991071
Jaylen Nowell,1517981
Jayson Tatum,9897120
Jeff Green,2564753
Jeff Teague,2564753
Jerami Grant,19047619
Jeremy Lamb,10500000
Jerian Grant,1882867
Jerome Robinson,3737520
Jevon Carter,3549383
Jimmy Butler,34379100
Joakim Noah,6431666
Joe Harris,16071429
Joe Ingles,10863637
Joel Embiid,29542010
John Collins,4137302
John Konchar,2093023
John Wall,41254920
