Date,All,Food And Non Alcoholic Bevereges,Food,Bread And Cereals,Meat,Fish,Milk Cheese And Eggs,Oils And Phats,Fruit,Vegetables Incl Potatoes And Tubers,Sugar Jam Syrups Chocolate And Confectionery,Food Products NEC,Non Alcoholic Beverages,Coffee Tea Cocoa,Mineral Waters Soft Drinks And Juices,Alcoholic Beverages And Tobacco,Alcoholic Beverages,Spirits,Wine,Beer,Tobacco,Clothing And Footwear,Clothing,Garments,Other Clothing And Clothing Accessories,Cleaning Repair And Hire Of Clothing,Footware Incl Repairs,Housing Water Electricity Gas And Other Fuels,Actual Rentals For Housing,Regular Maintenance And Repair Of The Dwelling,Materials For Maintenance And Repair,Services For Maintenance And Repair,Water Supply And Misc Services For The Dwelling,Water Supply,Sewerage Collection,Electricity Gas And Other Fuels,Electricty,Gas,Liquid Fuels,Solid Fuels,Furniture Household Equipment And Maintenance,Furniture Furnishings And Carpets,Furniture And Furnishings,Carpets And Other Floor Coverings,Household Textiles,Household Appliances Fitting And Repairs,Major Appliances And Small Electric Goods,Repair Of Household Appliances,Glassware Tableware And Household Utensils,Tools And Equipment For House And Garden,Goods And Services For Routine Maintenance,Non Durable Household Goods,Domestic Services And Household Services,Health,Medical Products Appliances And Equipment,Pharmaceutical Products,Other Medical And Therapeutic Equipment,Out Patient Services,Medical Services And Paramedical Services,Dental Services,Hospital Services,Transport,Purchase Of Vehicles,Motor Cycles And Bicycles,New Cars,Second Hand Cars,Operation Of Personal Transport Equipment,Spare Parts And Accessories,Fuels And Lubricants,Maintenance And Repairs,Other Services In Respect Of Personal Transport EQ,Transport Services,Passenger Transport By Railway,Passenger Transport By Road,Passenger Transport By Air,Passenger Transport By Sea And Inland Waterway,Communication,Postal Services,Telephone And Fax Equipment And Services,Recreation And Culture,Audio Visual EQ And Related Products,Reception And Reproduction Of Sound And Pictures,Photographic And Cine EQ And Optical Instruments,Data Processing EQ,Recording Media,Repair Of Audio Visual And Related Products,Other Major Durables For Recreation And Culture,Major Durables For In Out Door Recreation,Other Recreational Items Gardens And Pets,Games Toys And Hobbies,Equipment For Sport And Open Air Recreation,Garden Plants And Flowers,Pets Related Products And Services,Recreational And Cultural Services,Recreational And Sporting Services,Cultural Services,Books Newspapers And Stationery,Books,Newspapers And Periodicals,Misc Printed Matter Stationery Drawing Materials,Package Holiday,Education,Restaurants And Hotels,Catering Services,Restaurants And Cafes,Canteens,Accommodation Services,Misc Goods And Services,Personal Care,Hairdressing And Personal Grooming Establishments,Appliances And Products For Personal Care,Personal Effects NEC,Jewellery Clocks And Watches,Other Personal Effects,Social Protection,Insurance,House Contents Insurance,Health Insurance,Transport Insurance,Financial Services NEC,Other Financial Services NEC,Other Services NEC
1988-01-01,48.395,48.004,48.226000000000006,50.053000000000004,53.74100000000001,43.321000000000005,48.488,45.461000000000006,49.43600000000001,53.122,37.708,55.29,45.506,51.268,43.126000000000005,27.301,54.283,50.806000000000004,51.86,65.694,16.299,192.477,201.22,221.25799999999998,100.311,33.953,153.451,31.675,31.135,39.601,51.025,31.517,21.583000000000002,21.168000000000003,22.316,29.253,33.084,25.163,32.982,31.613000000000003,68.911,62.345,66.671,51.11,119.68700000000001,108.12200000000001,122.275,,81.389,69.357,41.075,56.961000000000006,29.814,37.88,51.771,53.641999999999996,,,,,,40.481,87.76,64.207,,126.807,29.199,53.239,30.397,24.76,30.366999999999997,22.499000000000002,27.726999999999997,29.43,,,98.061,25.432,109.68299999999999,73.734,745.0239999999999,992.324,2086.335,,139.696,,,,93.044,151.701,,73.723,43.622,32.875,29.616,35.038000000000004,37.434,42.221000000000004,29.129,48.028999999999996,,12.344000000000001,32.863,33.111999999999995,33.257,30.55,,45.339,50.273,29.29,62.023999999999994,68.098,57.272,96.977,,21.301,51.858999999999995,,15.745,95.434,95.434,30.016
1988-01-02,48.551,48.275,48.481,50.353,53.386,43.67,48.523,45.92100000000001,50.905,54.708999999999996,37.637,55.152,45.931000000000004,51.443999999999996,43.727,27.404,54.705,51.108000000000004,52.254,66.425,16.319000000000003,193.696,202.602,222.922,100.40799999999999,34.158,154.142,31.686,31.16,39.819,51.353,31.64,21.583000000000002,21.168000000000003,22.316,29.19,33.084,25.163,31.374000000000002,31.686,69.282,62.756,67.03399999999999,51.698,121.064,108.355,122.539,,81.774,69.706,41.278,57.24,29.980999999999998,37.936,51.847,53.721000000000004,,,,,,40.461,87.478,64.306,,126.363,29.212,54.781000000000006,30.111,24.996,30.49,22.619,27.726999999999997,29.691999999999997,,,98.04899999999999,25.432,109.669,73.944,742.8839999999999,989.685,2081.077,,139.227,,,,93.566,152.819,,74.273,43.744,32.888000000000005,29.627,35.051,37.809,42.643,29.421,48.50899999999999,,12.347999999999999,33.018,33.266999999999996,33.412,30.697,,45.523999999999994,50.45,29.473000000000003,62.157,68.251,57.401,97.196,,21.301,51.858999999999995,,15.745,95.491,95.491,30.358
1988-01-03,48.717,48.424,48.622,50.31100000000001,53.721000000000004,43.13,48.551,46.108000000000004,50.65,55.269,37.856,55.11600000000001,46.16,51.42,44.126999999999995,27.473000000000003,55.04600000000001,51.567,52.461999999999996,66.933,16.322,195.28599999999997,204.144,224.736,100.74,34.341,155.722,31.680999999999997,31.183000000000003,39.922,51.523999999999994,31.680999999999997,21.583000000000002,21.168000000000003,22.316,29.135,33.084,25.163,30.139,31.662,69.82,63.685,68.062,52.345,122.279,108.81299999999999,123.056,,82.13799999999999,69.90899999999999,41.466,57.468,30.322,38.47,52.577,54.477,,,,,,40.705,88.514,64.859,,127.885,29.272,55.018,30.131999999999998,25.124000000000002,30.504,22.619,27.726999999999997,29.691999999999997,,,98.055,25.432,109.676,73.972,740.8710000000001,983.9689999999999,2085.896,,139.476,,,,93.723,153.024,,74.676,43.742,32.949,29.682,35.117,37.839,42.677,29.444000000000003,48.548,,12.349,33.107,33.357,33.503,30.784000000000002,,45.553000000000004,50.571999999999996,29.596999999999998,62.253,67.899,57.105,96.694,,21.301,51.858999999999995,,15.745,95.66,95.66,30.485
1988-01-04,49.28,48.693000000000005,48.873999999999995,50.548,53.736000000000004,43.151,48.861000000000004,46.248999999999995,51.559,55.70399999999999,38.021,55.873999999999995,46.593,51.497,44.806000000000004,27.863000000000003,55.665,51.922,53.03,68.229,16.585,195.64700000000002,204.46200000000002,225.033,100.944,34.583,156.166,32.527,32.915,40.157,51.67,32.034,23.166999999999998,22.493000000000002,24.195,29.5,33.653,25.449,30.154,31.66,70.14699999999999,64.093,68.624,52.271,122.613,109.295,123.602,,82.67399999999999,69.708,41.67,57.76,30.408,38.664,52.842,54.751999999999995,,,,,,41.222,89.874,65.331,,129.914,29.671,55.216,30.715,25.325,30.623,22.624000000000002,27.726999999999997,29.704,,,98.053,25.432,109.67299999999999,75.307,747.426,988.087,2277.109,,139.029,,,,93.665,153.602,,74.283,43.636,34.694,31.254,36.976,38.056,42.922,29.613000000000003,48.827,,12.36,33.518,33.771,33.914,31.211,,45.824,50.957,30.015,62.523,67.914,57.117,96.715,,21.429000000000002,51.858999999999995,,15.902000000000001,95.62100000000001,95.62100000000001,30.795
1988-01-05,49.528999999999996,48.82,48.95399999999999,50.97,54.18600000000001,42.799,48.77,46.346000000000004,51.643,54.801,38.065,56.559,47.181000000000004,51.365,45.88399999999999,27.97,55.873000000000005,51.993,53.309,68.47,16.649,198.418,208.014,229.46900000000002,100.881,34.726,156.664,32.801,32.975,40.325,51.888000000000005,32.167,23.189,22.535999999999998,24.195,29.956,34.553000000000004,25.908,30.364,30.189,70.48,64.454,69.042,52.467,122.948,109.979,124.376,,83.177,69.929,41.751999999999995,57.873999999999995,30.464000000000002,38.793,53.019,54.935,,,,,,41.36600000000001,90.365,65.779,,130.611,29.666999999999998,55.21,30.659000000000002,25.418000000000003,30.69,22.842,27.934,30.031,,,98.044,25.432,109.662,75.602,746.485,985.8939999999999,2280.364,,139.002,,,,94.318,153.747,,75.804,43.876000000000005,34.788000000000004,31.339000000000002,37.077,38.378,43.285,29.864,49.24,,12.365,33.662,33.917,34.065,31.296,,45.993,51.119,30.105999999999998,62.726000000000006,68.018,57.20399999999999,96.863,,21.497,52.066,,15.945,95.67399999999999,95.67399999999999,31.078000000000003
1988-01-06,49.73,48.901,48.99100000000001,51.04,54.685,42.942,48.588,46.244,54.255,53.125,38.04,56.659,47.701,52.306000000000004,46.143,27.982,55.986000000000004,52.085,53.391999999999996,68.718,16.639,199.06400000000002,208.86599999999999,230.49099999999999,101.005,34.802,156.718,33.125,33.135999999999996,40.415,51.989,32.253,23.189,22.535999999999998,24.195,30.483,35.426,26.366,29.879,29.974,70.635,64.623,69.271,52.446999999999996,123.086,109.833,124.21,,83.195,70.29899999999999,42.073,58.291000000000004,30.875999999999998,38.889,53.15,55.071000000000005,,,,,,41.731,91.41,65.926,,132.196,29.916,55.368,30.956,25.678,30.809,22.859,27.934,30.069000000000003,,,98.03399999999999,25.432,109.649,75.551,742.7819999999999,977.916,2259.25,,139.291,,,,94.52600000000001,154.055,,76.16199999999999,43.918,34.788000000000004,31.339000000000002,37.077,38.391,43.3,29.874000000000002,49.256,,12.377,33.777,34.033,34.185,31.366999999999997,,46.158,51.351000000000006,30.234,63.019,68.107,57.278999999999996,96.99,,21.497,52.066,,15.945,96.6,96.6,31.248
1988-01-07,49.72,48.47,48.476000000000006,51.199,54.403,42.778,48.586999999999996,46.512,54.158,48.895,37.998000000000005,57.45,48.111000000000004,53.133,46.294,27.980999999999998,56.047,52.24,53.44,68.625,16.625999999999998,195.602,204.423,224.955,100.822,34.832,156.106,33.375,33.238,40.726,52.532,32.351,23.189,22.535999999999998,24.195,30.824,35.929,26.651999999999997,30.285,29.820999999999998,70.54899999999999,64.23100000000001,68.715,52.571999999999996,121.78200000000001,108.889,123.14299999999999,,83.59100000000001,70.399,42.81399999999999,59.376999999999995,31.051,38.964,53.253,55.177,,,,,,41.98,92.189,65.846,,133.401,30.011999999999997,55.353,31.018,25.906,30.906999999999996,23.009,27.934,30.397,,,98.024,25.432,109.637,75.653,739.456,968.2510000000001,2265.53,,139.789,,,,95.065,155.917,,75.65,44.198,34.75,31.305,37.036,38.65,43.592,30.076,49.589,,12.375,33.879,34.135,34.292,31.406,,46.633,51.681000000000004,30.336,63.522,68.703,57.78,97.839,,22.491,54.918,,16.592,96.544,96.544,31.354
1988-01-08,49.88,48.695,48.688,51.211999999999996,54.711999999999996,42.501999999999995,49.455,47.122,52.08,49.51,38.097,57.68,48.471000000000004,53.161,46.882,28.008000000000003,56.098,52.291000000000004,53.507,68.618,16.643,195.805,204.274,224.81799999999998,100.50399999999999,34.935,157.21200000000002,33.364000000000004,33.221,40.876,52.725,32.471,23.189,22.535999999999998,24.195,30.764,35.929,26.651999999999997,29.086,29.735,70.862,64.378,68.665,53.365,122.14,109.281,123.586,,84.19,70.78399999999999,43.13399999999999,59.81399999999999,31.324,39.202,53.578,55.513999999999996,,,,,,42.148,92.929,65.793,,134.542,29.991,55.44,30.978,25.849,31.014,23.155,27.934,30.715,,,98.006,25.432,109.615,75.834,739.72,969.243,2256.0370000000003,,139.84,,,,95.383,156.69299999999998,,75.502,44.403999999999996,34.84,31.386,37.133,38.785,43.744,30.180999999999997,49.762,,12.392000000000001,34.109,34.366,34.546,31.384,,46.848,51.897,30.482,63.766999999999996,68.945,57.983999999999995,98.184,,22.491,54.918,,16.592,96.16799999999999,96.16799999999999,31.712
1988-01-09,50.122,48.876000000000005,48.855,51.483000000000004,54.873999999999995,42.836999999999996,49.56,47.903999999999996,50.993,50.2,38.222,57.273,48.784,53.352,47.283,28.055999999999997,56.23,52.336000000000006,53.643,68.905,16.665,198.56599999999997,207.578,228.78099999999998,101.169,35.051,158.32299999999998,33.434,33.294000000000004,40.953,52.763000000000005,32.596,23.189,22.535999999999998,24.195,30.839000000000002,35.929,26.651999999999997,28.022,31.073,71.41199999999999,65.03,69.332,54.0,122.93799999999999,110.219,124.647,,84.664,70.932,43.449,60.292,31.293000000000003,39.298,53.708999999999996,55.65,,,,,,42.26,93.374,66.195,,135.17600000000002,30.024,55.515,30.912,26.048000000000002,31.232,23.166,27.934,30.738000000000003,,,98.594,26.925,109.631,75.789,732.53,955.2310000000001,2235.32,,139.673,,,,95.545,157.32,,75.635,44.373999999999995,34.974000000000004,31.506,37.275,38.857,43.825,30.236,49.854,,13.117,34.351,34.611,34.79,31.623,,47.001999999999995,52.132,30.695,63.977,69.051,58.073,98.334,,22.491,54.918,,16.592,96.428,96.428,31.849
1988-01-10,50.347,48.95,48.926,51.608999999999995,54.603,42.555,49.833999999999996,48.293,50.048,50.88,38.317,57.76,48.89,53.405,47.428000000000004,28.155,56.35,52.45399999999999,53.778,68.97399999999999,16.738,202.50900000000001,211.58599999999998,233.1,104.027,35.236999999999995,161.767,33.556,33.586999999999996,41.086000000000006,52.836999999999996,32.803000000000004,23.189,22.535999999999998,24.195,30.874000000000002,35.929,26.651999999999997,28.339000000000002,31.319000000000003,71.60600000000001,65.262,69.611,54.091,123.29,110.443,124.9,,84.515,71.112,43.695,60.619,31.559,39.555,54.06,56.013000000000005,,,,,,42.357,93.81299999999999,67.042,,135.747,30.015,55.542,30.845,26.109,31.383000000000003,23.233,27.934,30.885,,,98.569,26.925,109.6,76.065,734.185,956.065,2263.005,,139.959,,,,95.9,156.812,,76.89399999999999,44.532,34.961999999999996,31.495,37.262,39.266,44.286,30.555,50.379,,13.126,34.548,34.809,34.999,31.698,,47.168,52.213,30.748,64.07,69.30199999999999,58.284,98.69200000000001,,22.808000000000003,54.918,,16.980999999999998,96.354,96.354,31.95
